Borough,TestBorough
Major Category,TestCategory
LSOA,TestLSOA
Time,DataOriginal
2010-04-01,0
2010-05-01,0.309016994374947
2010-06-01,0.587785252292473
2010-07-01,0.809016994374948
2010-08-01,0.951056516295154
2010-09-01,1
2010-10-01,0.951056516295154
2010-11-01,0.809016994374948
2010-12-01,0.587785252292473
2011-01-01,0.309016994374948
2011-02-01,0.00E+00
2011-03-01,-0.309016994374947
2011-04-01,-0.587785252292473
2011-05-01,-0.809016994374947
2011-06-01,-0.951056516295154
2011-07-01,-1
2011-08-01,-0.951056516295154
2011-09-01,-0.809016994374948
2011-10-01,-0.587785252292473
2011-11-01,-0.309016994374948
2011-12-01,0.00E+00
2012-01-01,0.309016994374947
2012-02-01,0.587785252292472
2012-03-01,0.809016994374947
2012-04-01,0.951056516295154
2012-05-01,1
2012-06-01,0.951056516295154
2012-07-01,0.809016994374948
2012-08-01,0.587785252292473
2012-09-01,0.309016994374948
2012-10-01,0.00E+00
2012-11-01,-0.309016994374947
2012-12-01,-0.587785252292473
2013-01-01,-0.809016994374947
2013-02-01,-0.951056516295153
2013-03-01,-1
2013-04-01,-0.951056516295154
2013-05-01,-0.809016994374948
2013-06-01,-0.587785252292474
2013-07-01,-0.309016994374948
2013-08-01,0.00E+00
2013-09-01,0.309016994374945
2013-10-01,0.587785252292473
2013-11-01,0.809016994374947
2013-12-01,0.951056516295153
2014-01-01,1
2014-02-01,0.951056516295154
2014-03-01,0.809016994374947
2014-04-01,0.587785252292474
2014-05-01,0.30901699437495
2014-06-01,0.00E+00
2014-07-01,-0.309016994374945
2014-08-01,-0.587785252292473
2014-09-01,-0.809016994374948
2014-10-01,-0.951056516295153
2014-11-01,-1
2014-12-01,-0.951056516295154
2015-01-01,-0.809016994374949
2015-02-01,-0.587785252292474
2015-03-01,-0.30901699437495
2015-04-01,0.00E+00
2015-05-01,0.309016994374948
2015-06-01,0.587785252292473
2015-07-01,0.809016994374948
2015-08-01,0.951056516295153
2015-09-01,1
2015-10-01,0.951056516295154
2015-11-01,0.809016994374949
2015-12-01,0.587785252292474
2016-01-01,0.309016994374947
2016-02-01,0.00E+00
2016-03-01,-0.309016994374948
2016-04-01,-0.587785252292473
2016-05-01,-0.809016994374946
2016-06-01,-0.951056516295153
2016-07-01,-1
2016-08-01,-0.951056516295154
2016-09-01,-0.809016994374947
2016-10-01,-0.587785252292474
2016-11-01,-0.309016994374947
2016-12-01,0.00E+00
2017-01-01,0.309016994374945
2017-02-01,0.58778525229247
2017-03-01,0.809016994374948
2017-04-01,0.951056516295153
2017-05-01,1
2017-06-01,0.951056516295154
2017-07-01,0.809016994374949
2017-08-01,0.587785252292477
2017-09-01,0.309016994374947
2017-10-01,0.00E+00
2017-11-01,-0.309016994374945
2017-12-01,-0.587785252292472
2018-01-01,-0.809016994374946
2018-02-01,-0.951056516295154
2018-03-01,-1
2018-04-01,-0.951056516295154
2018-05-01,-0.809016994374949
2018-06-01,-0.587785252292477
2018-07-01,-0.309016994374947
